,winner,loser,match score
274,Roberto Bautista Agut,Guido Pella,63 61 61 
275,Nick Kyrgios,Gastao Elias,61 62 62 
276,Grigor Dimitrov,Christopher O'Connell,762 63 63 
277,Alexander Bublik,Lucas Pouille,60 36 63 64 
278,Roger Federer,Jurgen Melzer,75 36 62 62 
279,Richard Gasquet,Blake Mott,64 64 62 
280,John Isner,Konstantin Kravchuk,63 64 675 61 
281,Ivo Karlovic,Horacio Zeballos,676 36 75 62 2220 
282,David Ferrer,Omar Jasika,63 60 62 
283,Diego Schwartzman,Pablo Cuevas,63 63 60 
284,Jack Sock,Pierre-Hugues Herbert,64 764 63 
285,Alexander Zverev,Robin Haase,62 36 57 63 62 
286,Gilles Simon,Michael Mmoh,61 63 63 
287,Lukas Lacko,Albert Ramos-Vinolas,46 75 16 64 63 
288,Bernard Tomic,Thomaz Bellucci,62 61 64 
289,Fabio Fognini,Feliciano Lopez,75 63 75 
290,Viktor Troicki,Damir Dzumhur,64 64 26 26 63 
291,Pablo Carreno Busta,Peter Polansky,60 36 36 62 30 (RET)
292,Sam Querrey,Quentin Halys,6710 764 63 64 
293,Philipp Kohlschreiber,Nikoloz Basilashvili,64 36 762 64 
294,Marcos Baghdatis,Mikhail Youzhny,63 30 (RET)
295,Carlos Berlocq,Radu Albot,64 764 57 768 
296,Jeremy Chardy,Nicolas Almagro,40 (RET)
297,Hyeon Chung,Renzo Olivo,62 63 62 
298,Steve Darcis,Sam Groth,36 63 62 62 
299,Alex de Minaur,Gerald Melzer,57 63 26 762 61 
300,Alexandr Dolgopolov,Borna Coric,63 64 36 767 
301,Rogerio Dutra Silva,Jared Donaldson,36 06 61 64 64 
302,Kyle Edmund,Santiago Giraldo,62 75 63 
303,Ernesto Escobedo,Daniil Medvedev,75 46 765 61 
304,Victor Estrella Burgos,Aljaz Bedene,767 75 06 63 
305,Daniel Evans,Facundo Bagnis,768 63 61 
306,Ryan Harrison,Nicolas Mahut,63 64 62 
307,Denis Istomin,Ivan Dodig,61 64 36 75 
308,Malek Jaziri,Go Soeda,63 64 63 
309,Steve Johnson,Federico Delbonis,63 64 64 
310,Karen Khachanov,Adrian Mannarino,64 36 769 63 
311,Dusan Lajovic,Stephane Robert,63 63 63 
312,Paolo Lorenzi,James Duckworth,64 764 674 64 
313,Gilles Muller,Taylor Fritz,766 765 63 
314,Yoshihito Nishioka,Alex Bolt,64 16 62 64 
315,Benoit Paire,Tommy Haas,762 64 (RET)
316,Noah Rubin,Bjorn Fratangelo,674 75 36 62 62 
317,Andrey Rublev,Yen-Hsun Lu,46 63 760 63 
318,Dudi Sela,Marcel Granollers,57 63 62 60 
319,Andreas Seppi,Paul-Henri Mathieu,64 764 673 75 
320,Radek Stepanek,Dmitry Tursunov,62 761 63 
321,Jordan Thompson,Joao Sousa,672 46 63 62 61 
322,Frances Tiafoe,Mikhail Kukushkin,61 673 63 62 
323,Andrew Whittington,Adam Pavlasek,64 46 62 63 
324,Donald Young,Thomas Fabbiano,64 761 64 
325,Mischa Zverev,Guillermo Garcia-Lopez,63 765 64 
326,Radek Stepanek,John-Patrick Smith,62 64 
327,Frances Tiafoe,Tim Smyczek,36 60 75 
328,Bjorn Fratangelo,Hiroki Moriya,46 64 64 
329,Lukas Lacko,Denis Kudla,62 62 
330,Noah Rubin,Evgeny Donskoy,62 64 
331,Jurgen Melzer,Rajeev Ram,62 36 63 
332,Ernesto Escobedo,Yuki Bhambri,672 62 64 
333,Andrey Rublev,Peter Polansky,64 46 63 
334,Alex Bolt,Julien Benneteau,63 75 
335,Go Soeda,Marco Trungelliti,62 36 64 
336,Thomas Fabbiano,Andre Ghem,64 764 
337,Alexander Bublik,Duckhee Lee,46 64 64 
338,Ivan Dodig,Di Wu,61 75 
339,Blake Mott,James McGee,765 36 63 
340,Reilly Opelka,Casper Ruud,762 63 
341,Luca Vanni,Jan Satral,46 64 64 
342,Radek Stepanek,Blaz Kavcic,63 674 86 
343,Frances Tiafoe,Yannik Reuter,64 60 
344,Andrey Rublev,Yuichi Sugita,64 762 
345,Bjorn Fratangelo,Stefanos Tsitsipas,46 61 63 
346,Lukas Lacko,Maximo Gonzalez,46 62 62 
