,winner,loser,match score
1021,Elias Ymer,Yoshihito Nishioka,63 61 
1022,Radu Albot,Alex de Minaur,63 36 64 
1023,Darian King,Mikhail Kukushkin,61 64 
1024,Santiago Giraldo,Norbert Gombos,75 36 62 
1025,Dusan Lajovic,Tobias Kamke,64 63 
1026,Julien Benneteau,Illya Marchenko,64 64 
1027,Marius Copil,Denis Kudla,764 63 
1028,Henri Laaksonen,Dennis Novikov,46 64 60 
1029,Vasek Pospisil,Rajeev Ram,46 63 62 
1030,Federico Gaio,Andrew Whittington,62 75 
1031,Peter Gojowczyk,Marco Trungelliti,62 26 63 
1032,Nikoloz Basilashvili,Matthew Ebden,64 62 
1033,Dennis Novikov,Denis Istomin,766 42 (RET)
1034,Yoshihito Nishioka,Marcelo Arevalo,62 64 
1035,Radu Albot,Vincent Millot,764 62 
1036,Mikhail Kukushkin,Marcos Giron,63 63 
1037,Rajeev Ram,Jared Donaldson,64 64 
1038,Santiago Giraldo,Michael Mmoh,63 766 
1039,Peter Gojowczyk,Ernesto Escobedo,63 63 
1040,Dusan Lajovic,Ivan Dodig,57 75 60 
1041,Illya Marchenko,Teymuraz Gabashvili,64 26 64 
1042,Federico Gaio,Sergiy Stakhovsky,763 63 
1043,Marius Copil,Lukas Rosol,765 62 
1044,Norbert Gombos,Ruben Bemelmans,64 16 63 
1045,Julien Benneteau,Sam Groth,64 765 
1046,Marco Trungelliti,Jozef Kovalik,64 764 
1047,Henri Laaksonen,Tim Smyczek,763 63 
1048,Elias Ymer,Peter Polansky,765 63 
1049,Vasek Pospisil,Mitchell Krueger,63 64 
1050,Denis Kudla,Marton Fucsovics,63 63 
1051,Darian King,Noah Rubin,64 64 
1052,Tobias Kamke,Benjamin Becker,75 36 64 
1053,Andrew Whittington,Andrey Rublev,63 61 
1054,Alexander Bublik,Ernests Gulbis,64 765 
1055,Alex de Minaur,Go Soeda,63 26 63 
1056,Roger Federer,Rafael Nadal,63 64 
1057,Roger Federer,Nick Kyrgios,769 679 765 
1058,Rafael Nadal,Fabio Fognini,61 75 
1059,Fabio Fognini,Kei Nishikori,64 62 
1060,Roger Federer,Tomas Berdych,62 36 766 
1061,Rafael Nadal,Jack Sock,62 63 
1062,Nick Kyrgios,Alexander Zverev,64 679 63 
1063,Alexander Zverev,Stan Wawrinka,46 62 61 
1064,Kei Nishikori,Federico Delbonis,63 46 63 
1065,Roger Federer,Roberto Bautista Agut,765 764 
1066,Rafael Nadal,Nicolas Mahut,64 764 
1067,Nick Kyrgios,David Goffin,765 63 
1068,Tomas Berdych,Adrian Mannarino,63 75 
1069,Jack Sock,Jared Donaldson,62 61 
1070,Fabio Fognini,Donald Young,60 64 
1071,Stan Wawrinka,Malek Jaziri,63 64 
1072,Kei Nishikori,Fernando Verdasco,762 675 61 
1073,Jared Donaldson,Milos Raonic,(W/O)
1074,Roger Federer,Juan Martin del Potro,63 64 
1075,Rafael Nadal,Philipp Kohlschreiber,06 62 63 
1076,David Goffin,Diego Schwartzman,46 63 75 
1077,Tomas Berdych,Gilles Muller,63 64 
1078,Nick Kyrgios,Ivo Karlovic,64 674 762 
1079,Jack Sock,Jiri Vesely,63 760 
1080,Roberto Bautista Agut,Sam Querrey,36 62 63 
1081,Alexander Zverev,John Isner,675 767 765 
1082,Federico Delbonis,Jan-Lennard Struff,765 61 
1083,Fabio Fognini,Jeremy Chardy,36 64 64 
1084,Nicolas Mahut,Guido Pella,64 63 
1085,Adrian Mannarino,Borna Coric,64 26 763 
1086,Donald Young,Benoit Paire,762 64 
1087,Stan Wawrinka,Horacio Zeballos,63 64 
1088,Kei Nishikori,Kevin Anderson,64 63 
1089,Milos Raonic,Viktor Troicki,63 75 
1090,Roger Federer,Frances Tiafoe,762 63 
1091,Rafael Nadal,Dudi Sela,63 64 
1092,Borna Coric,Dominic Thiem,61 75 
1093,Jeremy Chardy,Marin Cilic,64 26 63 
1094,David Goffin,Darian King,75 61 
1095,Guido Pella,Grigor Dimitrov,63 764 
1096,Tomas Berdych,Andrey Rublev,63 62 
1097,Donald Young,Lucas Pouille,62 64 
1098,Nick Kyrgios,Damir Dzumhur,64 63 
1099,Jack Sock,Yoshihito Nishioka,24 (RET)
1100,Roberto Bautista Agut,Mikhail Kukushkin,63 763 
1101,Federico Delbonis,Pablo Carreno Busta,16 75 62 
1102,Alexander Zverev,Yen-Hsun Lu,60 63 
1103,Ivo Karlovic,Andrey Kuznetsov,764 61 
1104,John Isner,Thomaz Bellucci,75 765 
1105,Jiri Vesely,Albert Ramos-Vinolas,765 46 63 
1106,Jan-Lennard Struff,Gilles Simon,61 61 
1107,Benoit Paire,Pablo Cuevas,75 60 
1108,Sam Querrey,Tommy Robredo,62 63 
1109,Nicolas Mahut,Steve Johnson,64 57 64 
1110,Gilles Muller,Andreas Seppi,763 761 
1111,Fernando Verdasco,Ernesto Escobedo,769 75 
1112,Philipp Kohlschreiber,Taylor Fritz,75 36 764 
1113,Diego Schwartzman,David Ferrer,62 63 
1114,Jared Donaldson,Mischa Zverev,64 64 
1115,Juan Martin del Potro,Robin Haase,62 64 
1116,Fabio Fognini,Joao Sousa,768 26 63 
1117,Malek Jaziri,Feliciano Lopez,63 46 63 
1118,Adrian Mannarino,Paolo Lorenzi,64 36 62 
1119,Kevin Anderson,Dusan Lajovic,62 75 
1120,Thomaz Bellucci,Stephane Robert,765 62 
1121,Jeremy Chardy,Facundo Bagnis,62 62 
1122,Borna Coric,Marcel Granollers,766 46 63 
1123,Federico Delbonis,Juan Monaco,75 764 
1124,Jared Donaldson,Kyle Edmund,26 764 62 
1125,Damir Dzumhur,Hyeon Chung,36 61 761 
1126,Ernesto Escobedo,Daniel Evans,75 06 63 
1127,Fabio Fognini,Ryan Harrison,64 75 
1128,Taylor Fritz,Adam Pavlasek,62 63 
1129,Robin Haase,Mikael Ymer,75 763 
1130,Malek Jaziri,Alexandr Dolgopolov,764 (RET)
1131,Darian King,Lukas Lacko,762 64 
1132,Mikhail Kukushkin,Mikhail Youzhny,64 61 
1133,Andrey Kuznetsov,Denis Istomin,64 760 
1134,Yen-Hsun Lu,Casper Ruud,62 61 
1135,Nicolas Mahut,Michael Mmoh,63 62 
1136,Adrian Mannarino,Benjamin Becker,766 63 
1137,Yoshihito Nishioka,Jordan Thompson,16 64 63 
1138,Benoit Paire,Martin Klizan,764 63 
1139,Guido Pella,Tim Smyczek,36 64 763 
1140,Tommy Robredo,Nikoloz Basilashvili,36 64 62 
1141,Andrey Rublev,Florian Mayer,61 61 
1142,Diego Schwartzman,Karen Khachanov,64 36 764 
1143,Dudi Sela,Christian Harrison,61 61 
1144,Andreas Seppi,Radu Albot,64 64 
1145,Jan-Lennard Struff,Aljaz Bedene,75 40 (RET)
1146,Frances Tiafoe,Konstantin Kravchuk,75 57 61 
1147,Viktor Troicki,Thiago Monteiro,57 63 61 
1148,Jiri Vesely,Tommy Haas,675 63 75 
1149,Donald Young,Dustin Brown,63 16 62 
1150,Horacio Zeballos,Gastao Elias,672 62 75 
1151,Benjamin Becker,Mikhail Youzhny,16 63 62 
1152,Christian Harrison,Rogerio Dutra Silva,75 62 
1153,Frances Tiafoe,Mathias Bourgue,46 64 64 
1154,Radu Albot,Sergiy Stakhovsky,46 62 64 
1155,Ernesto Escobedo,Renzo Olivo,75 63 
1156,Mikhail Kukushkin,Norbert Gombos,64 61 
1157,Jared Donaldson,Stefan Kozlov,75 63 
1158,Dusan Lajovic,Nicolas Kicker,64 63 
1159,Lukas Lacko,Miomir Kecmanovic,63 62 
1160,Aljaz Bedene,Tobias Kamke,62 63 
1161,Darian King,Reilly Opelka,(W/O)
1162,Tim Smyczek,Ruben Bemelmans,75 61 
1163,Tobias Kamke,Pierre-Hugues Herbert,36 63 75 
1164,Mikhail Youzhny,Vincent Millot,64 46 764 
1165,Rogerio Dutra Silva,Lukas Rosol,64 36 769 
1166,Frances Tiafoe,Teymuraz Gabashvili,762 63 
1167,Radu Albot,Elias Ymer,62 51 (RET)
1168,Renzo Olivo,Alexander Bublik,75 673 61 
1169,Mikhail Kukushkin,Peter Gojowczyk,64 (RET)
1170,Jared Donaldson,Yibing Wu,62 62 
1171,Nicolas Kicker,Andrew Whittington,763 762 
1172,Lukas Lacko,Vasil Kirkov,64 46 64 
1173,Tim Smyczek,Santiago Giraldo,64 63 
1174,Ernesto Escobedo,Denis Kudla,63 62 
1175,Aljaz Bedene,Federico Gaio,64 63 
1176,Dusan Lajovic,Grega Zemlja,63 (RET)
1177,Sergiy Stakhovsky,Ernests Gulbis,673 64 60 
1178,Reilly Opelka,Marius Copil,64 763 
1179,Mathias Bourgue,Bjorn Fratangelo,63 21 (RET)
1180,Norbert Gombos,Quentin Halys,64 16 762 
1181,Stefan Kozlov,Nicola Kuhn,63 36 63 
1182,Ruben Bemelmans,Jozef Kovalik,16 75 63 
1183,Miomir Kecmanovic,Henri Laaksonen,62 64 
1184,Christian Harrison,Peter Polansky,64 62 
1185,Benjamin Becker,Joao Souza,64 678 75 
1186,Darian King,Ivan Dodig,64 57 60 
1187,Steve Johnson,Thomaz Bellucci,64 46 765 
1188,Steve Johnson,Jack Sock,46 64 63 
1189,Thomaz Bellucci,Ernesto Escobedo,57 64 62 
1190,Jack Sock,Feliciano Lopez,766 16 64 
1191,Ernesto Escobedo,John Isner,766 676 765 
1192,Thomaz Bellucci,Sam Querrey,64 36 63 
1193,Steve Johnson,Fernando Verdasco,62 64 
1194,Jack Sock,Tommy Haas,64 36 63 
1195,John Isner,Leonardo Mayer,675 763 63 
1196,Sam Querrey,Horacio Zeballos,64 64 
1197,Steve Johnson,Dustin Brown,7612 64 
1198,Fernando Verdasco,Nicolas Kicker,764 61 
1199,Feliciano Lopez,Hyeon Chung,46 62 61 
1200,Thomaz Bellucci,Maximo Gonzalez,26 765 62 
1201,Ernesto Escobedo,Thiago Monteiro,46 64 64 
1202,Fernando Verdasco,Kevin Anderson,764 764 
1203,Feliciano Lopez,Bjorn Fratangelo,75 64 
1204,Thiago Monteiro,Donald Young,63 64 
1205,Thomaz Bellucci,Frances Tiafoe,75 16 62 
1206,Dustin Brown,Juan Monaco,767 63 
1207,Hyeon Chung,Victor Estrella Burgos,64 57 64 
1208,Ernesto Escobedo,Tennys Sandgren,63 63 
1209,Maximo Gonzalez,Jared Donaldson,64 57 63 
1210,Tommy Haas,Reilly Opelka,765 46 63 
1211,Nicolas Kicker,Noah Rubin,53 (RET)
1212,Leonardo Mayer,Adam Pavlasek,57 62 61 
1213,Horacio Zeballos,Rogerio Dutra Silva,62 75 
1214,Leonardo Mayer,Denis Kudla,36 64 64 
1215,Maximo Gonzalez,Benjamin Becker,63 62 
1216,Tennys Sandgren,Teymuraz Gabashvili,63 62 
1217,Noah Rubin,Bradley Klahn,62 36 762 
1218,Bradley Klahn,Renzo Olivo,46 75 40 (RET)
1219,Benjamin Becker,Guido Andreozzi,60 75 
1220,Teymuraz Gabashvili,Peter Polansky,62 765 
1221,Denis Kudla,Brian Baker,23 (RET)
1222,Leonardo Mayer,Tim Smyczek,36 64 763 
1223,Noah Rubin,Ruben Ramirez Hidalgo,763 75 
1224,Maximo Gonzalez,Dennis Novikov,64 7613 
1225,Tennys Sandgren,Steven Diez,63 63 
1226,Borna Coric,Philipp Kohlschreiber,57 763 75 
1227,Philipp Kohlschreiber,Benoit Paire,62 62 
1228,Borna Coric,Jiri Vesely,64 64 
1229,Borna Coric,Albert Ramos-Vinolas,46 64 64 
1230,Philipp Kohlschreiber,Jan-Lennard Struff,36 75 63 
1231,Jiri Vesely,Paolo Lorenzi,36 63 765 
1232,Benoit Paire,Tommy Robredo,62 64 
1233,Tommy Robredo,Grigor Dimitrov,64 16 61 
1234,Albert Ramos-Vinolas,Laslo Djere,674 61 64 
1235,Philipp Kohlschreiber,Jeremy Chardy,60 26 63 
1236,Jiri Vesely,Mischa Zverev,64 64 
1237,Paolo Lorenzi,Gianluigi Quinzi,765 26 64 
1238,Benoit Paire,Radu Albot,62 62 
1239,Borna Coric,Reda El Amrani,62 36 765 
1240,Jan-Lennard Struff,Amine Ahouda,63 64 
1241,Paolo Lorenzi,Guillermo Garcia-Lopez,764 75 
1242,Benoit Paire,Carlos Berlocq,670 63 62 
1243,Borna Coric,Diego Schwartzman,63 62 
1244,Amine Ahouda,Marcel Granollers,64 64 
1245,Radu Albot,Nicolas Almagro,766 63 
1246,Jeremy Chardy,Malek Jaziri,62 46 63 
1247,Laslo Djere,Martin Klizan,763 63 
1248,Reda El Amrani,Federico Delbonis,763 10 (RET)
1249,Gianluigi Quinzi,Paul-Henri Mathieu,768 63 
1250,Tommy Robredo,Sergiy Stakhovsky,64 64 
1251,Jan-Lennard Struff,Taro Daniel,46 63 61 
1252,Jiri Vesely,Luca Vanni,62 63 
1253,Taro Daniel,Luca Vanni,764 762 
1254,Sergiy Stakhovsky,Alexander Bublik,75 60 
1255,Gianluigi Quinzi,Duckhee Lee,62 63 
1256,Laslo Djere,Alexander Ward,64 62 
1257,Taro Daniel,Taha Tifnouti,60 61 
1258,Gianluigi Quinzi,Evgeny Donskoy,764 36 63 
1259,Laslo Djere,Marius Copil,61 (RET)
1260,Sergiy Stakhovsky,Ayoub Chakrouni,60 62 
1261,Alexander Ward,Andrey Rublev,765 64 
1262,Alexander Bublik,Roberto Carballes Baena,64 64 
1263,Luca Vanni,Inigo Cervantes,678 75 75 
1264,Duckhee Lee,Alexander Zhurbin,63 61 
1265,Rafael Nadal,Albert Ramos-Vinolas,61 63 
1266,Rafael Nadal,David Goffin,63 61 
1267,Albert Ramos-Vinolas,Lucas Pouille,63 57 61 
1268,David Goffin,Novak Djokovic,62 36 75 
1269,Rafael Nadal,Diego Schwartzman,64 64 
1270,Albert Ramos-Vinolas,Marin Cilic,62 675 62 
1271,Lucas Pouille,Pablo Cuevas,60 36 75 
1272,Albert Ramos-Vinolas,Andy Murray,26 62 75 
1273,Novak Djokovic,Pablo Carreno Busta,62 46 64 
1274,Pablo Cuevas,Stan Wawrinka,64 64 
1275,Rafael Nadal,Alexander Zverev,61 61 
1276,Marin Cilic,Tomas Berdych,62 760 
1277,David Goffin,Dominic Thiem,764 46 63 
1278,Lucas Pouille,Adrian Mannarino,30 (RET)
1279,Diego Schwartzman,Jan-Lennard Struff,63 60 
1280,Andy Murray,Gilles Muller,75 75 
1281,Novak Djokovic,Gilles Simon,63 36 75 
1282,Stan Wawrinka,Jiri Vesely,62 46 62 
1283,Rafael Nadal,Kyle Edmund,60 57 63 
1284,Marin Cilic,Jeremy Chardy,63 60 
1285,Dominic Thiem,Robin Haase,63 62 
1286,Adrian Mannarino,Jo-Wilfried Tsonga,673 62 63 
1287,Jan-Lennard Struff,Grigor Dimitrov,46 63 62 
1288,Tomas Berdych,Tommy Haas,36 61 64 
1289,David Goffin,Nicolas Almagro,75 61 
1290,Lucas Pouille,Paolo Lorenzi,62 64 
1291,Diego Schwartzman,Roberto Bautista Agut,63 763 
1292,Pablo Carreno Busta,Karen Khachanov,64 64 
1293,Alexander Zverev,Feliciano Lopez,60 64 
1294,Albert Ramos-Vinolas,Carlos Berlocq,62 62 
1295,Pablo Cuevas,Joao Sousa,63 63 
1296,Tomas Berdych,Andrey Kuznetsov,46 63 64 
1297,David Goffin,Steve Darcis,62 61 
1298,Lucas Pouille,Ryan Harrison,62 64 
1299,Roberto Bautista Agut,Nikoloz Basilashvili,16 63 75 
1300,Pablo Carreno Busta,Fabio Fognini,760 674 63 
1301,Alexander Zverev,Andreas Seppi,61 62 
1302,Albert Ramos-Vinolas,Renzo Olivo,62 63 
1303,Pablo Cuevas,Viktor Troicki,63 60 
1304,Nicolas Almagro,Martin Klizan,46 63 61 
1305,Carlos Berlocq,Pierre-Hugues Herbert,36 62 61 
1306,Jeremy Chardy,Borna Coric,763 36 63 
1307,Kyle Edmund,Daniel Evans,75 61 
1308,Tommy Haas,Benoit Paire,62 63 
1309,Robin Haase,Damir Dzumhur,63 62 
1310,Karen Khachanov,Nicolas Mahut,62 64 
1311,Feliciano Lopez,Daniil Medvedev,766 75 
1312,Paolo Lorenzi,Marcel Granollers,62 64 
1313,Adrian Mannarino,Guillermo Garcia-Lopez,16 63 64 
1314,Gilles Muller,Tommy Robredo,62 62 
1315,Diego Schwartzman,Bernard Tomic,61 763 
1316,Gilles Simon,Malek Jaziri,62 62 
1317,Joao Sousa,Florian Mayer,63 62 
1318,Jan-Lennard Struff,Casper Ruud,64 64 
1319,Jiri Vesely,Mischa Zverev,763 63 
1320,Adrian Mannarino,Yuichi Sugita,63 64 
1321,Jan-Lennard Struff,Pierre-Hugues Herbert,63 62 
1322,Martin Klizan,Sergiy Stakhovsky,64 61 
1323,Carlos Berlocq,Roberto Carballes Baena,62 63 
1324,Guillermo Garcia-Lopez,Damir Dzumhur,60 46 75 
1325,Andrey Kuznetsov,Mikhail Youzhny,36 762 765 
1326,Renzo Olivo,Simone Bolelli,64 675 62 
1327,Adrian Mannarino,Lucas Catarina,61 61 
1328,Jan-Lennard Struff,Paul-Henri Mathieu,46 62 763 
1329,Martin Klizan,Evgeny Donskoy,46 765 62 
1330,Carlos Berlocq,Andrey Rublev,62 63 
1331,Damir Dzumhur,Alessandro Giannessi,63 75 
1332,Andrey Kuznetsov,Julien Benneteau,61 63 
1333,Simone Bolelli,Mikhail Kukushkin,63 62 
1334,Pierre-Hugues Herbert,Marius Copil,63 36 60 
1335,Roberto Carballes Baena,Radu Albot,63 63 
1336,Sergiy Stakhovsky,Dusan Lajovic,760 36 63 
1337,Mikhail Youzhny,Taro Daniel,63 16 764 
1338,Renzo Olivo,Jozef Kovalik,16 63 62 
1339,Yuichi Sugita,Hugo Nys,75 36 61 
1340,Guillermo Garcia-Lopez,Florent Diep,63 62 
1341,Rafael Nadal,Dominic Thiem,64 61 
1342,Dominic Thiem,Andy Murray,62 36 64 
1343,Rafael Nadal,Horacio Zeballos,63 64 
1344,Andy Murray,Albert Ramos-Vinolas,26 64 764 
1345,Rafael Nadal,Hyeon Chung,761 62 
1346,Dominic Thiem,Yuichi Sugita,61 62 
1347,Horacio Zeballos,Karen Khachanov,64 61 
1348,Andy Murray,Feliciano Lopez,64 64 
1349,Rafael Nadal,Kevin Anderson,63 64 
1350,Dominic Thiem,Daniel Evans,765 62 
1351,Karen Khachanov,David Goffin,677 63 64 
1352,Albert Ramos-Vinolas,Roberto Bautista Agut,62 36 64 
1353,Yuichi Sugita,Pablo Carreno Busta,63 63 
1354,Hyeon Chung,Alexander Zverev,61 64 
1355,Horacio Zeballos,Benoit Paire,64 36 763 
1356,Andy Murray,Bernard Tomic,(W/O)
1357,Rafael Nadal,Rogerio Dutra Silva,61 62 
1358,Dominic Thiem,Kyle Edmund,61 64 
1359,David Goffin,Nikoloz Basilashvili,75 60 
1360,Roberto Bautista Agut,Jan-Lennard Struff,61 63 
1361,Pablo Carreno Busta,Andreas Seppi,64 62 
1362,Alexander Zverev,Nicolas Almagro,764 46 64 
1363,Yuichi Sugita,Richard Gasquet,46 63 763 
1364,Albert Ramos-Vinolas,Casper Ruud,766 64 
1365,Karen Khachanov,Pablo Cuevas,765 765 
1366,Hyeon Chung,Philipp Kohlschreiber,63 64 
1367,Kevin Anderson,David Ferrer,63 64 
1368,Daniel Evans,Mischa Zverev,64 64 
1369,Horacio Zeballos,Joao Sousa,763 75 
1370,Feliciano Lopez,Albert Montanes,62 62 
1371,Benoit Paire,Marcel Granollers,63 766 
1372,Nicolas Almagro,Steven Diez,63 64 
1373,Kevin Anderson,Carlos Berlocq,26 764 63 
1374,Nikoloz Basilashvili,Taro Daniel,63 61 
1375,Hyeon Chung,Denis Istomin,64 64 
1376,Rogerio Dutra Silva,Renzo Olivo,61 61 
1377,Kyle Edmund,Jeremy Chardy,63 64 
1378,Daniel Evans,Thiago Monteiro,674 62 762 
1379,Marcel Granollers,Malek Jaziri,763 63 
1380,Karen Khachanov,Thomaz Bellucci,63 64 
1381,Albert Montanes,Guillermo Garcia-Lopez,64 64 
1382,Casper Ruud,Radu Albot,62 62 
1383,Andreas Seppi,Mikael Ymer,64 63 
1384,Jan-Lennard Struff,Pierre-Hugues Herbert,75 63 
1385,Yuichi Sugita,Tommy Robredo,64 63 
1386,Bernard Tomic,Dustin Brown,75 46 62 
1387,Horacio Zeballos,Santiago Giraldo,62 63 
1388,Thiago Monteiro,Jordi Samper-Montana,61 674 61 
1389,Steven Diez,Yuichi Sugita,64 767 
1390,Hyeon Chung,Guido Pella,62 64 
1391,Santiago Giraldo,Alejandro Davidovich Fokina,57 63 62 
1392,Taro Daniel,Daniel Brands,62 64 
1393,Casper Ruud,Daniel Masur,60 62 
1394,Thiago Monteiro,Lukas Rosol,63 674 63 
1395,Yuichi Sugita,Nicola Kuhn,765 62 
1396,Hyeon Chung,Ernests Gulbis,762 62 
1397,Santiago Giraldo,Enrique Lopez-Perez,26 764 63 
1398,Taro Daniel,Jaume Munar,62 61 
1399,Daniel Masur,Andrey Rublev,761 36 63 
1400,Alejandro Davidovich Fokina,Roberto Carballes Baena,36 62 62 
1401,Casper Ruud,Oriol Roca Batalla,64 61 
1402,Daniel Brands,Inigo Cervantes,64 36 61 
1403,Jordi Samper-Montana,Kenny De Schepper,45 (RET)
1404,Guido Pella,Marco Trungelliti,63 63 
1405,Steven Diez,Uladzimir Ignatik,762 64 
1406,Lucas Pouille,Aljaz Bedene,63 61 
1407,Lucas Pouille,Paolo Lorenzi,62 75 
1408,Aljaz Bedene,Laslo Djere,62 64 
1409,Lucas Pouille,Martin Klizan,64 63 
1410,Aljaz Bedene,Ivo Karlovic,64 63 
1411,Laslo Djere,Fernando Verdasco,26 764 62 
1412,Paolo Lorenzi,Andrey Kuznetsov,64 64 
1413,Lucas Pouille,Jiri Vesely,63 46 764 
1414,Ivo Karlovic,Damir Dzumhur,61 36 64 
1415,Andrey Kuznetsov,Fabio Fognini,63 36 764 
1416,Fernando Verdasco,Marton Fucsovics,766 63 
1417,Paolo Lorenzi,Sergiy Stakhovsky,64 36 63 
1418,Laslo Djere,Viktor Troicki,75 62 
1419,Aljaz Bedene,Robin Haase,64 64 
1420,Martin Klizan,Bjorn Fratangelo,63 62 
1421,Bjorn Fratangelo,Gilles Simon,64 61 
1422,Paolo Lorenzi,Mikhail Kukushkin,64 75 
1423,Viktor Troicki,Evgeny Donskoy,61 62 
1424,Robin Haase,Diego Schwartzman,61 63 
1425,Aljaz Bedene,Marius Copil,75 62 
1426,Laslo Djere,Daniil Medvedev,60 55 (RET)
1427,Damir Dzumhur,Steve Darcis,36 62 62 
1428,Marton Fucsovics,Mikhail Youzhny,62 62 
1429,Martin Klizan,Maximilian Marterer,62 63 
1430,Andrey Kuznetsov,Ryan Harrison,766 63 
1431,Sergiy Stakhovsky,Florian Mayer,64 30 (RET)
1432,Jiri Vesely,Borna Coric,764 64 
1433,Aljaz Bedene,Marius Copil,63 672 61 
1434,Laslo Djere,Evgeny Donskoy,64 675 62 
1435,Maximilian Marterer,Sergiy Stakhovsky,767 63 
1436,Bjorn Fratangelo,Attila Balazs,63 57 64 
1437,Aljaz Bedene,Federico Gaio,64 62 
1438,Attila Balazs,Dusan Lajovic,61 16 64 
1439,Evgeny Donskoy,Aldin Setkic,64 763 
1440,Sergiy Stakhovsky,Zsombor Piros,62 64 
1441,Laslo Djere,Norbert Gombos,46 64 75 
1442,Marius Copil,Sam Groth,46 64 62 
1443,Bjorn Fratangelo,Tobias Kamke,61 63 
1444,Maximilian Marterer,Mirza Basic,62 62 
1445,Pablo Carreno Busta,Gilles Muller,62 765 
1446,Pablo Carreno Busta,David Ferrer,63 63 
1447,Gilles Muller,Kevin Anderson,75 64 
1448,Pablo Carreno Busta,Nicolas Almagro,62 64 
1449,Kevin Anderson,Richard Gasquet,62 36 764 
1450,Gilles Muller,Taro Daniel,57 62 63 
1451,David Ferrer,Ryan Harrison,64 60 
1452,Pablo Carreno Busta,Tommy Robredo,765 75 
1453,Richard Gasquet,Carlos Berlocq,61 64 
1454,Gilles Muller,Pedro Sousa,63 62 
1455,David Ferrer,Frederico Ferreira Silva,63 64 
1456,Ryan Harrison,Juan Martin del Potro,(W/O)
1457,Nicolas Almagro,Gastao Elias,61 62 
1458,Kevin Anderson,Joao Domingues,57 63 75 
1459,Taro Daniel,Bjorn Fratangelo,64 64 
1460,Juan Martin del Potro,Yuichi Sugita,61 63 
1461,Bjorn Fratangelo,Joao Sousa,63 64 
1462,Joao Domingues,Kyle Edmund,64 36 762 
1463,Nicolas Almagro,Benoit Paire,63 62 
1464,Kevin Anderson,Salvatore Caruso,62 63 
1465,Carlos Berlocq,Elias Ymer,75 64 
1466,Taro Daniel,Renzo Olivo,762 46 75 
1467,Gastao Elias,Malek Jaziri,64 36 63 
1468,Frederico Ferreira Silva,Denis Istomin,62 62 
1469,Ryan Harrison,Guillermo Garcia-Lopez,63 26 62 
1470,Tommy Robredo,Evgeny Donskoy,63 62 
1471,Pedro Sousa,Paul-Henri Mathieu,36 64 (RET)
1472,Elias Ymer,Ernesto Escobedo,61 64 
1473,Bjorn Fratangelo,Andrey Rublev,75 63 
1474,Salvatore Caruso,Kenny De Schepper,63 761 
1475,Joao Domingues,Goncalo Oliveira,64 62 
1476,Ernesto Escobedo,Nicolas Jarry,673 64 64 
1477,Andrey Rublev,Sam Groth,62 764 
1478,Goncalo Oliveira,Inigo Cervantes,61 63 
1479,Kenny De Schepper,Tristan Lamasine,765 62 
1480,Bjorn Fratangelo,Enrique Lopez-Perez,36 760 64 
1481,Salvatore Caruso,Federico Gaio,61 62 
1482,Joao Domingues,Ernests Gulbis,61 (RET)
1483,Elias Ymer,Joao Monteiro,75 673 64 
1484,Marin Cilic,Milos Raonic,763 63 
1485,Milos Raonic,Viktor Troicki,62 63 
1486,Marin Cilic,Diego Schwartzman,61 767 
1487,Milos Raonic,Bernard Tomic,764 766 
1488,Marin Cilic,Steve Darcis,61 61 
1489,Diego Schwartzman,Dusan Lajovic,75 62 
1490,Viktor Troicki,Laslo Djere,62 23 (RET)
1491,Milos Raonic,Aljaz Bedene,675 63 763 
1492,Marin Cilic,Damir Dzumhur,63 62 
1493,Diego Schwartzman,Jordan Thompson,61 63 
1494,Laslo Djere,Paolo Lorenzi,64 63 
1495,Viktor Troicki,Karen Khachanov,64 765 
1496,Bernard Tomic,Rogerio Dutra Silva,75 63 
1497,Steve Darcis,Jiri Vesely,62 61 
1498,Dusan Lajovic,Mikhail Youzhny,36 60 63 
1499,Viktor Troicki,Marcos Baghdatis,75 64 
1500,Bernard Tomic,Mohamed Safwat,57 75 63 
1501,Dusan Lajovic,Borna Coric,63 671 75 
1502,Steve Darcis,Dudi Sela,75 64 
1503,Aljaz Bedene,Marton Fucsovics,763 46 64 
1504,Laslo Djere,Daniel Brands,63 64 
1505,Rogerio Dutra Silva,Riccardo Bellotti,36 761 60 
1506,Damir Dzumhur,Stefanos Tsitsipas,64 75 
1507,Karen Khachanov,Nikoloz Basilashvili,63 672 61 
1508,Jordan Thompson,Adrian Menendez-Maceiras,674 60 60 
1509,Jiri Vesely,Marcel Granollers,75 26 64 
1510,Mikhail Youzhny,Cem Ilkel,36 63 63 
1511,Adrian Menendez-Maceiras,Mohamed Safwat,61 62 
1512,Riccardo Bellotti,Laurynas Grigelis,62 61 
1513,Stefanos Tsitsipas,Alexey Vatutin,62 766 
1514,Daniel Brands,Miomir Kecmanovic,64 64 
1515,Laurynas Grigelis,Tobias Kamke,57 75 61 
1516,Miomir Kecmanovic,Mirza Basic,62 61 
1517,Adrian Menendez-Maceiras,Marc Sieber,75 64 
1518,Alexey Vatutin,Steven Diez,762 767 
1519,Mohamed Safwat,Altug Celikbilek,64 62 
1520,Riccardo Bellotti,Andres Molteni,63 61 
1521,Stefanos Tsitsipas,Alex de Minaur,64 62 
