,Name,Age,Birthday,Height,Weight,Rank,Country Represent,Year Turned Pro,Wins,Losses,Handed,Backhand Style,Number of Coaches
4651,Mikhail Kukushkin,34,1983.08.14,180,163.0,71,"Taipei, Chinese Taipei",2001.0,161,222,Right-Handed,Two-Handed Backhand,1
4652,Fabio Fognini,32,1985.04.04,175,144.0,67,"Kiryat Shmonna, Israel",2002.0,136,184,Right-Handed,Two-Handed Backhand,1
4653,Jiri Vesely,21,1996.05.19,188,192.0,58,"Suwon, South Korea",2014.0,51,43,Right-Handed,Two-Handed Backhand,1
4654,Ernests Gulbis,28,1989.05.08,196,176.0,41,"Avignon, France",2007.0,153,169,Right-Handed,Two-Handed Backhand,1
4655,Juan Martin del Potro,32,1985.02.23,191,176.0,275,"Moscow, Russia",2004.0,10,28,Right-Handed,One-Handed Backhand,1
4656,Karen Khachanov,21,1996.05.19,188,192.0,58,"Suwon, South Korea",2014.0,51,43,Right-Handed,Two-Handed Backhand,1
4657,Thiago Monteiro,21,1996.11.14,185,174.0,48,"Zagreb, Croatia",2013.0,79,86,Right-Handed,Two-Handed Backhand,0
4658,Jared Donaldson,35,1982.06.25,183,160.0,84,"Moscow, Russia",1999.0,492,398,Right-Handed,One-Handed Backhand,1
4659,Paolo Lorenzi,30,1987.10.19,193,187.0,471,"Vuyyuru, India",2012.0,5,5,Right-Handed,Two-Handed Backhand,0
4660,Kevin Anderson,34,1983.08.14,180,163.0,71,"Taipei, Chinese Taipei",2001.0,161,222,Right-Handed,One-Handed Backhand,1
4661,Andreas Seppi,28,1989.11.11,175,152.0,87,"Chisinau, Moldova",2008.0,30,42,Right-Handed,One-Handed Backhand,1
4662,Aljaz Bedene,28,1989.07.18,183,159.0,49,"Ljubljana, Slovenia",2008.0,70,87,Right-Handed,Two-Handed Backhand,1
4663,Damir Dzumhur,34,1983.06.04,185,176.0,70,"La Roda (Albacete), Spain",2002.0,275,321,Right-Handed,Two-Handed Backhand,1
4664,Ruben Bemelmans,25,1992.07.04,183,170.0,116,"New Delhi, India",2008.0,22,19,Right-Handed,Two-Handed Backhand,1
4665,Daniil Medvedev,23,1994.11.08,188,169.0,137,"Chennai, India",,12,13,Right-Handed,Two-Handed Backhand,2
4666,David Ferrer,33,1984.03.13,178,169.0,77,"Liege, Belgium",2003.0,111,121,Right-Handed,Two-Handed Backhand,1
4667,Steve Darcis,28,1988.12.24,183,176.0,32,"Zagreb, Croatia",2006.0,38,38,Right-Handed,Two-Handed Backhand,1
4668,Adrian Mannarino,33,1984.02.05,178,161.0,90,"Sao Paulo, Brazil",2003.0,19,23,Right-Handed,One-Handed Backhand,2
4669,Yuichi Sugita,27,1990.06.30,183,172.0,75,"Belgrade, Serbia",2007.0,75,99,Right-Handed,Two-Handed Backhand,1
4670,Benoit Paire,25,1992.11.04,183,181.0,165,"Bratislava, Slovakia",,7,15,Right-Handed,Two-Handed Backhand,1
4671,Pierre-Hugues Herbert,27,1990.11.24,183,168.0,115,"Lourinhã, Portugal",2008.0,28,47,Right-Handed,Two-Handed Backhand,1
4672,Andy Murray,21,1996.02.11,198,179.0,65,"Moscow, Russia",2014.0,29,31,Right-Handed,Two-Handed Backhand,2
4673,Alexander Bublik,23,1994.05.31,183,172.0,124,"Fortaleza, Brazil",2011.0,19,31,Left-Handed,One-Handed Backhand,2
4674,Novak Djokovic,25,1992.03.15,180,160.0,146,"Rosario, Argentina",2009.0,20,28,Right-Handed,Two-Handed Backhand,3
4675,Martin Klizan,18,1998.12.22,183,170.0,141,"Oslo, Norway",2015.0,9,12,Right-Handed,Two-Handed Backhand,1
4676,Roger Federer,32,1985.04.04,175,144.0,67,"Kiryat Shmonna, Israel",2002.0,136,184,Right-Handed,Two-Handed Backhand,1
4677,Alexandr Dolgopolov,25,1992.05.20,175,154.0,30,"Sarajevo, Bosnia-Herzegovina",2011.0,76,66,Right-Handed,Two-Handed Backhand,1
4678,Rafael Nadal,21,1996.05.19,188,192.0,58,"Suwon, South Korea",2014.0,51,43,Right-Handed,Two-Handed Backhand,1
4679,John Millman,36,1981.05.22,183,178.0,189,"Vienna, Austria",1999.0,348,334,Left-Handed,Two-Handed Backhand,1
4680,Daniil Medvedev,25,1992.07.04,183,170.0,116,"New Delhi, India",2008.0,22,19,Right-Handed,One-Handed Backhand,1
4681,Stan Wawrinka,25,1992.08.16,178,165.0,95,"Merlo, Argentina",2009.0,11,15,Right-Handed,Two-Handed Backhand,2
4682,Milos Raonic,25,1992.11.04,183,181.0,165,"Bratislava, Slovakia",,7,15,Right-Handed,Two-Handed Backhand,1
4683,Jan-Lennard Struff,28,1989.11.12,188,176.0,256,"Chennai, India",,1,1,Left-Handed,Two-Handed Backhand,1
4684,Marin Cilic,28,1988.12.24,183,176.0,32,"Zagreb, Croatia",2006.0,38,38,Right-Handed,Two-Handed Backhand,1
4685,Philipp Kohlschreiber,27,1990.01.31,180,172.0,222,"Santiago del Estero, Argentina",2008.0,5,8,Right-Handed,Two-Handed Backhand,2
4686,Dominic Thiem,21,1996.05.19,188,192.0,58,"Suwon, South Korea",2014.0,51,43,Right-Handed,Two-Handed Backhand,1
4687,Vasek Pospisil,29,1988.07.12,185,174.0,345,"Belgrade, Serbia",,1,2,Right-Handed,none,1
